of_ratio,Tc_K,gamma,Mmol_kg_kmol
4.0,2921.5899,1.1878,9.9789
4.5,3094.3721,1.1755,10.8893
5.0,3229.5660,1.1688,11.7573
5.5,3331.7752,1.1670,12.5796
6.0,3405.1552,1.1690,13.3541
6.5,3453.8322,1.1731,14.0792
7.0,3482.1468,1.1771,14.7552
