of_ratio,Tc_K,gamma,Mmol_kg_kmol
3.5,2790.3161,1.2112,23.8311
4.0,2967.9068,1.1862,24.8302
4.5,3065.6945,1.1694,25.6021
5.0,3103.3217,1.1631,26.1816
5.5,3106.4202,1.1614,26.6430
6.0,3091.4573,1.1611,26.9730
6.5,3066.9443,1.1616,27.2545
